id,rc_reg_crse_insttn,rc_regcrs_deparmnt_crm,rc_crse_title,rc_crse_numbr,rc_crse_cdt_lvl,rc_crse_cdt_hrs,rc_cnthrs_editn,rc_cnthrs_strt_dat,rc_cnthrs_end_dat,rc_cnthrs_strt_yr,rc_cnthrs_end_yr,rc_cnthrs_strt_sem,rc_cnthrs_end_sem,rc_cnthrs_strt_qurtr,rc_cntnthrs_end_qtr,data_discrpncy_final_dta,rc_final_data_course_name,rc_rgsd_numbr,rc_rgs_typ_fnl,third_edition_cr_number,alterations,rc_cntnt_alloc_a1,rc_cnt_alloc_b1,rc_cntn_alloc_type_c1,rc_cnt_alloc_c2,rc_cntn_alloc_type_d1,rc_cntn_alloc_type_d2,rc_cntn_alloc_type_d3,rc_cntn_alloc_type_d4,rc_cntn_alloc_type_d5v,rc_cntn_alloc_type_e1,rc_cntn_alloc_type_5av,rc_cntn_alloc_type_5d,rc_cntn_alloc_type_5g,rc_cntn_alloc_type_5h,rc_cntn_alloc_type_5e,rc_cntn_alloc_type_5b,rc_cntn_alloc_type_5c,rc_cntn_alloc_type_5f
82f9e4b9-77b6-4a23-b759-386fad448750 Fifth Edition,Pennsylvania State University Harrisburg,Psychology,Behavioral Systems Support,ABA 544,Graduate,3,Fifth Edition,,,2018,,Spring,,,,,4011 BCBA,4011, BCBA,,,,,,,,,,,,,,,,,,,15,30
d4b68b2b-4d0b-467e-8b74-6d6be24904cf Fifth Edition,"Chicago School of Professional Psychology, The",Applied Behavior Analysis,Behavior Change Procedures II,AB 557CH,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4501 BCBA Chicago,4501, BCBA Chicago,,,,,,,,,,,,,,,,,,,15,30
42d251ac-956d-4b22-94c9-cb67a17cf80d Fifth Edition,University of Tennessee,Special Education,Direct Assessment and Interventions of Academic Skill Deficits,EDPY 517,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4344 BCBA,4344, BCBA,,,,,,,,,,,,,,,,,,15,30,
7267284d-538e-416a-8df4-25a8995b5151 Fifth Edition,"Malta College of Arts, Science, & Technology",Malta Gateway to Industry in Collaboration with MCAST University College,Personnel Supervision and Management,GCS-8,Graduate,2,Fifth Edition,,,2018,,Fall,,,,,4510 BCBA,4510, BCBA,,,,,,,,,,,,,,,,,,,,30
bcc4a2e9-5b91-4649-a041-90767e59db2e Fifth Edition,Moscow Centre of Pedagogy and Psychology,Pedagogy,Measurement & Experimental Design,GCS-2,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4363 BCBA,4363, BCBA,,,,,,,,,,,,,,,,,45,,,
ff7fe7f3-ab86-4e3b-9cc2-3fc0b6899968 Fifth Edition,"Chicago School of Professional Psychology, The",Behavior Analysis,Behavior Assessment,AB 564 TX,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4500 BCBA Dallas,4500, BCBA Dallas,,,,,,,,,,,,,,,,,,45,,
704031d6-0d44-436c-8acf-fd80a0f7b258 Fifth Edition,"Chicago School of Professional Psychology, The",Applied Behavior Analysis,Concepts and Principles of Behavior Analyisis II,AB 541CH,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4501 BCBA Chicago,4501, BCBA Chicago,,,,,,,,,,,,,,45,,,,,,
15a8a577-fa2f-4ca3-8ae9-97a6c622f4ab Fifth Edition,Auburn University,Special Education,Research in Specialization: Autism,RSED 7420,Graduate,3,Fifth Edition,,,2018,,Summer,,,,,4407 BCBA,4407, BCBA,,{Number:RSED 7426}{Title:Research in Specialization: Autism},,,,,,,,,,,,,,,,,45,
08c1e7d2-d9d6-41ae-b0a5-2cd42a8f3156 Fifth Edition,Mary Baldwin University,Education/Psychology,ABA Personnel Management I,ABA 518,Graduate,1,Fifth Edition,,,2019,,Fall,,,,,4201 BCBA,4201, BCBA,,,,,,,,,,,,,,,,,,,,15
3254941e-4395-4966-ac17-6f27da6d469c Fifth Edition,Emirates College for Advanced Education,"Counseling, Special Education and Neuroscience",BehaviorChange Procedures,EDUABA 5,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4264 BCaBA,4264, BCaBA,,,,,,,,,,,,,,,,,,,45,
d1f158f2-031e-494d-9f8c-d1516a06da55 Fifth Edition,Behavior Momentum India,Behavior Analysis,Philosophical Underpinnings & Concepts and Principles I,BMI-1,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4067 BCBA,4067, BCBA,,,,,,,,,,,,,,,45,,,,,
602827c2-488d-40f6-83cb-f3366feb9137 Fifth Edition,University of Michigan - Dearborn,Education,Ethics in Applied Behavior Analysis,EDC 623,Graduate,3,Fifth Edition,,,2018,,Fall,,,,,4451 BCBA,4451, BCBA,,,,,,,,,,,,,45,,,,,,,
c29912d5-c0f6-4763-8517-8d25b5bea4d8 Fifth Edition,Lindenwood University,Educational Leadership,"Performance Diagnostics, Supervision, and Organizational Behavior Management",EDSBA 55000,Graduate,2,Fifth Edition,,,2018,,Fall,,,,,4175 BCBA,4175, BCBA,,{Number:EDS 65000},,,,,,,,,,,,,,,,,,30
f282cfca-e29f-4793-8293-0eaabdf9a3dc Fifth Edition,CAPPDR-SEEK,Behavior Analysis,Ethics II: cultural Influences and Risk-Benefit Analysis,SBEH 108,Graduate,1,Fifth Edition,,,2018,,Fall,,,,,4394 BCBA,4394, BCBA,,,,,,,,,,,,,15,,,,,,,
f023f9e6-85a8-415f-9aea-ecfb6dc235de Fifth Edition,CAPPDR-SEEK,SEEK ABA-Taiwan,Measurement & Experimental Design,SBEH 102,Graduate,2,Fifth Edition,,,2018,,Fall,,,,,4081 BCaBA,4081, BCaBA,,,,,,,,,,,,,,,,,30,,,
